speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
1.6500000000000001,1.86,35965,-5,0,-5,new.003.001.
1.6500000000000001,1.54,36059,-5,0,-5,new.003.001.
1.21,1.54,36166,-5,0,-5,new.003.001.
1.21,1.11,36268,-5,0,-5,new.003.001.
0.63,1.11,36375,-5,0,-5,new.003.001.
0.63,0.6,36467,-5,0,-5,new.003.001.
0.32,0.6,36568,-5,0,-5,new.003.001.
0.32,0.22,36671,-5,0,-5,new.003.001.
0.0,0.22,36775,-5,0,-5,new.003.001.
0.0,0.0,36877,-5,0,-5,new.003.001.
0.13,0.0,36978,-5,0,-5,new.003.001.
0.13,0.0,37077,-5,0,-5,new.003.001.
0.0,0.0,37183,-5,0,-5,new.003.001.
0.0,0.0,37284,-5,0,-5,new.003.001.
0.0,0.0,37385,-5,0,-5,new.003.001.
0.0,0.0,37487,-5,0,-5,new.003.001.
0.0,0.0,37593,-5,0,-5,new.003.001.
0.0,0.0,37694,-3,0,-3,new.003.001.
0.0,0.0,37797,15,0,0,new.003.001.
0.0,0.0,37901,15,0,0,new.003.001.
0.0,0.0,37992,15,0,0,new.003.001.
0.0,0.0,38095,15,0,0,new.003.001.
0.0,0.0,38197,15,0,0,new.003.001.
0.0,0.0,38302,15,0,3,new.003.001.
0.0,0.0,38403,3,0,3,new.003.001.
0.0,0.0,38513,3,0,3,new.003.001.
0.0,0.0,38612,3,0,3,new.003.001.
0.0,0.0,38705,3,0,3,new.003.001.
0.0,0.0,38829,3,0,3,new.003.001.
0.0,0.0,38930,3,0,3,new.003.001.
0.0,0.0,39033,3,0,3,new.003.001.
0.0,0.0,39134,3,0,3,new.003.001.
0.0,0.0,39227,3,0,3,new.003.001.
0.0,0.0,39329,3,0,3,new.003.001.
0.0,0.0,39431,3,0,3,new.003.001.
0.18,0.3,39542,3,0,3,new.003.001.
0.18,0.3,39643,3,0,3,new.003.001.
0.56,0.5,39738,5,0,5,new.003.001.
0.56,0.5,39830,7,0,7,new.003.001.
0.88,1.04,39933,9,0,9,new.003.001.
0.88,1.04,40035,9,0,9,new.003.001.
1.35,1.55,40136,9,0,9,new.003.001.
1.35,1.55,40234,7,0,7,new.003.001.
2.14,2.34,40340,7,0,7,new.003.001.
2.86,2.34,40441,5,0,5,new.003.001.
2.86,3.08,40545,3,0,3,new.003.001.
3.46,3.08,40639,3,0,3,new.003.001.
3.46,3.64,40740,3,0,3,new.003.001.
3.9,3.64,40842,3,0,3,new.003.001.
3.9,4.0200000000000005,40959,3,0,3,new.003.001.
4.22,4.0200000000000005,41051,3,0,3,new.003.001.
4.22,4.3100000000000005,41151,3,0,3,new.003.001.
4.5200000000000005,4.3100000000000005,41254,3,0,3,new.003.001.
4.5200000000000005,4.62,41356,3,0,3,new.003.001.
4.8100000000000005,4.62,41457,3,0,3,new.003.001.
