nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9064685,30.350481,10.644,0.492,0.0,0.0,0.0,-5.236631782476975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,43,0,4,0.8,2025-04-23T17: 13: 44.900+03: 00,35871,new.003.001.
59.9064687,30.3504803,10.641,0.424,0.0,0.0,0.0,-5.176697175963488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.000+03: 00,35986,new.003.001.
59.9064688,30.3504798,10.641,0.365,0.0,0.0,0.0,-5.165696365688169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.100+03: 00,36077,new.003.001.
59.906469,30.3504794,10.64,0.282,0.0,0.0,0.0,-5.286417299390113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.200+03: 00,36178,new.003.001.
59.906469,30.3504789,10.642,0.251,0.0,0.0,0.0,-5.043301661233563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.300+03: 00,36287,new.003.001.
59.9064691,30.3504786,10.646,0.18,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.400+03: 00,36377,new.003.001.
59.9064691,30.3504785,10.648,0.112,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.500+03: 00,36479,new.003.001.
59.9064692,30.3504784,10.65,0.072,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.600+03: 00,36578,new.003.001.
59.9064692,30.3504783,10.65,0.049,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.700+03: 00,36676,new.003.001.
59.9064691,30.3504784,10.65,0.023,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.800+03: 00,36777,new.003.001.
59.9064691,30.3504785,10.652,0.064,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43,0,4,0.78,2025-04-23T17: 13: 45.900+03: 00,36878,new.003.001.
59.9064691,30.3504787,10.65,0.115,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.000+03: 00,36983,new.003.001.
59.9064691,30.3504787,10.651,0.019,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.100+03: 00,37079,new.003.001.
59.906469,30.3504788,10.65,0.06,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.200+03: 00,37180,new.003.001.
59.9064691,30.3504787,10.651,0.047,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.300+03: 00,37279,new.003.001.
59.9064691,30.3504787,10.649,0.063,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.400+03: 00,37382,new.003.001.
59.9064691,30.3504786,10.65,0.057,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.500+03: 00,37493,new.003.001.
59.9064691,30.3504786,10.647,0.024,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.600+03: 00,37579,new.003.001.
59.9064691,30.3504786,10.649,0.021,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.700+03: 00,37676,new.003.001.
59.9064691,30.3504786,10.649,0.033,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.800+03: 00,37779,new.003.001.
59.9064691,30.3504786,10.651,0.041,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 46.900+03: 00,37878,new.003.001.
59.9064691,30.3504788,10.651,0.062,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.000+03: 00,37987,new.003.001.
59.9064691,30.3504788,10.649,0.014,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.100+03: 00,38078,new.003.001.
59.9064691,30.3504788,10.647,0.017,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.200+03: 00,38182,new.003.001.
59.9064691,30.3504787,10.65,0.035,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.300+03: 00,38287,new.003.001.
59.9064691,30.3504786,10.648,0.02,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.400+03: 00,38382,new.003.001.
59.9064691,30.3504786,10.649,0.007,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.500+03: 00,38478,new.003.001.
59.9064691,30.3504787,10.648,0.013,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.600+03: 00,38573,new.003.001.
59.9064691,30.3504786,10.649,0.024,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.700+03: 00,38677,new.003.001.
59.9064691,30.3504787,10.647,0.018,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.800+03: 00,38780,new.003.001.
59.9064691,30.3504786,10.648,0.004,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 47.900+03: 00,38876,new.003.001.
59.9064691,30.3504787,10.645,0.014,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 48.000+03: 00,38989,new.003.001.
